bank,base_url,pdf_url,resolved_pdf_url
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/30078/Disclosure19102016.pdf,https://www.sbi.co.in/documents/17826/30078/Disclosure19102016.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/30078/Disclosure03102016.pdf,https://www.sbi.co.in/documents/17826/30078/Disclosure03102016.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/30078/Disclosure2623.pdf,https://www.sbi.co.in/documents/17826/30078/Disclosure2623.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/35696/Customer_Service_20080610.pdf,https://www.sbi.co.in/documents/17826/35696/Customer_Service_20080610.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/34723/FINAL+P3D+JUN2016+12AUG2016+1630HRS_LATEST.pdf,https://www.sbi.co.in/documents/17826/34723/FINAL+P3D+JUN2016+12AUG2016+1630HRS_LATEST.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/30078/Divestmentofstake.pdf,https://www.sbi.co.in/documents/17826/30078/Divestmentofstake.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/17948/100519-Results_Mar19.pdf,https://www.sbi.co.in/documents/17826/17948/100519-Results_Mar19.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/33945/020819-SBI_LCR_Disclosure_June_Qtr_2019.pdf,https://www.sbi.co.in/documents/17826/33945/020819-SBI_LCR_Disclosure_June_Qtr_2019.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/35696/1373614553213_SBI_UNABRIDGED_ANNUAL_REPORT_2012_13_HINDI.pdf,https://www.sbi.co.in/documents/17826/35696/1373614553213_SBI_UNABRIDGED_ANNUAL_REPORT_2012_13_HINDI.pdf
State Bank of India,https://www.sbi.co.in/portal/web/corporate-governance/annual-report,/documents/17826/30078/IntimationNSE_24122016.pdf,https://www.sbi.co.in/documents/17826/30078/IntimationNSE_24122016.pdf
